,0,1,2,3,5,6
0,1.0,1.0,0.0,341.12017589999994,95.55485275,75.18180738
1,0.0,0.0,0.0,118.6100868,66.45606407,93.01158133
2,1.0,1.0,0.0,77.25457572,40.76602354,-1.588631774
3,1.0,0.0,1.0,476.9805228999999,144.3359025,512.7788929
4,1.0,0.0,1.0,258.2258457,144.4875971,364.0638235
5,0.0,1.0,1.0,436.479141,123.02219109999999,257.8135921
6,0.0,0.0,0.0,170.8616477,43.90954628,131.8753969
7,0.0,0.0,0.0,251.96616040000004,65.49429715,213.3494912
8,1.0,1.0,0.0,422.6422911,69.00791493,108.02162220000001
9,1.0,0.0,1.0,183.71054650000002,69.11965759,222.38030069999996
10,0.0,0.0,0.0,39.94416167,69.04823916,52.069036100000005
11,0.0,0.0,0.0,460.76777450000003,128.61385420000002,357.4400421
12,1.0,0.0,1.0,157.8876771,47.25329638,204.43712150000002
13,1.0,1.0,0.0,399.588637,65.15597577,138.3699904
14,1.0,0.0,1.0,220.53881030000002,81.57482483,257.50877149999997
15,0.0,1.0,1.0,423.77357530000006,148.82694540000003,268.39954040000003
16,0.0,1.0,1.0,409.4401983,150.97379030000002,256.8145312
17,0.0,0.0,0.0,215.77104369999998,42.45271109,180.291194
18,1.0,0.0,1.0,494.4980452,115.5275702,517.9441224999999
19,0.0,0.0,0.0,272.89675919999996,95.11215184,213.91442709999998
20,0.0,1.0,1.0,75.54019022,61.71864451,88.73769096
21,1.0,0.0,1.0,65.63998659,42.12121976,115.9191048
22,0.0,0.0,0.0,93.1404617,47.89485972,90.11052322
23,0.0,1.0,1.0,242.15609080000002,36.35782397,149.9998791
24,0.0,0.0,0.0,124.7117447,55.70201826,123.26678329999999
25,0.0,1.0,1.0,220.7644242,70.10628715,122.70187920000001
26,0.0,0.0,0.0,409.99053210000005,117.66266100000001,319.9966908
27,1.0,1.0,0.0,367.718896,148.7834507,68.90950895
28,1.0,0.0,1.0,32.49066006,77.95242444,143.58313969999998
29,0.0,1.0,1.0,380.4608207,45.20765451,190.53592340000003
30,1.0,0.0,1.0,442.79402949999997,70.80925017,430.49724519999995
31,0.0,0.0,0.0,339.60956989999994,82.61646647,242.51895019999998
32,1.0,1.0,0.0,182.1048043,35.66596997,53.22393722
33,0.0,0.0,0.0,124.46088300000001,146.845958,88.50796769
34,1.0,0.0,1.0,297.0551515,135.0442267,373.3950397
35,0.0,0.0,0.0,274.1688903,124.505052,203.658276
36,0.0,1.0,1.0,505.53877819999997,108.73469650000001,261.33481969999997
37,1.0,0.0,1.0,36.24412508,45.19732934,80.16776546
38,1.0,1.0,0.0,256.8210174,36.71461522,99.20951711
39,1.0,0.0,1.0,203.0581281,36.2739327,220.9296122
40,1.0,1.0,0.0,279.6342777,148.1548583,31.55463095
41,0.0,0.0,0.0,77.1488066,67.26630264,76.69764915
42,1.0,0.0,1.0,153.36842280000002,147.0670892,312.1530712
43,0.0,0.0,0.0,408.5244792,112.2892987,305.76910630000003
44,1.0,1.0,0.0,172.3928433,86.19875756,29.38462332
45,0.0,0.0,0.0,177.3456581,61.56216403,130.82919579999998
46,0.0,0.0,0.0,160.5834601,95.99571974,142.4450752
47,0.0,1.0,1.0,388.094131,120.2566988,230.20360440000002
48,1.0,1.0,0.0,230.92900980000002,32.39678186,75.27795122
49,0.0,1.0,1.0,282.2170149,106.2169923,183.7293201
50,1.0,0.0,1.0,90.12209641,73.4440691,167.76654680000001
51,1.0,0.0,1.0,472.9796977,82.07935457,459.8181075
52,1.0,1.0,0.0,348.9675322,56.21120003,109.45212430000001
53,0.0,0.0,0.0,412.4353391,60.16041882,317.1932291
54,0.0,1.0,1.0,301.8542546,103.0309731,192.202951
55,1.0,1.0,0.0,504.12413760000004,130.5510243,111.14743349999999
56,1.0,0.0,1.0,204.4368169,108.53534280000001,311.34142810000003
57,0.0,0.0,0.0,507.13924230000003,150.0689165,356.10890689999997
58,1.0,1.0,0.0,63.9395105,117.39530390000002,-32.59271988
59,1.0,0.0,1.0,395.33130889999995,89.78666249,420.8899623
60,1.0,0.0,1.0,223.4893725,146.835971,343.0741686
61,1.0,1.0,0.0,364.1607341,69.39111419,92.15306932
62,0.0,0.0,0.0,138.10796230000003,113.300821,126.0522658
63,1.0,1.0,0.0,432.5503256,131.2815347,77.76535683
64,0.0,1.0,1.0,157.5820375,43.60818672,89.4239287
65,0.0,0.0,0.0,110.7563649,45.11406847,92.7883241
66,0.0,1.0,1.0,348.8058564,136.1384246,210.99334240000002
67,0.0,0.0,0.0,399.36254310000004,130.755376,284.1084432
